product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
手羽から揚(しお味)5本入り,310,https://www.hottomotto.com/files/menu_img/sp_1184.jpg?id=5845,200kcal,13.2g,13.7g,5.9g,5.7g,0.2g,1.6g,https://www.hottomotto.com/menu_list/view/13/1184
ビーフカットステーキ　おかずのみ,860,https://www.hottomotto.com/files/menu_img/sp_882.jpg?id=5845,317kcal,20.8g,14.5g,27.2g,23.1g,4.1g,4.3g,https://www.hottomotto.com/menu_list/view/13/882
Wしょうが焼き(肉２倍)　おかずのみ,890,https://www.hottomotto.com/files/menu_img/sp_1157.jpg?id=5845,671kcal,34.2g,45.1g,34.5g,29.7g,4.8g,5.6g,https://www.hottomotto.com/menu_list/view/13/1157
特製豚汁,170,https://www.hottomotto.com/files/menu_img/sp_1189.jpg?id=5845,61kcal,4.8g,1.4g,8.0g,6.4g,1.6g,2.8g,https://www.hottomotto.com/menu_list/view/13/1189
のり弁バーガー,400,https://www.hottomotto.com/files/menu_img/sp_891.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/891
デミグラスハンバーグ＆から揚弁当,950,https://www.hottomotto.com/files/menu_img/sp_1272.jpg?id=5845,833kcal,40.0g,27.4g,110.2g,102.2g,8.0g,4.6g,https://www.hottomotto.com/menu_list/view/13/1272
から揚カレー,770,https://www.hottomotto.com/files/menu_img/sp_1134.jpg?id=5845,681kcal,28.1g,17.1g,107.0g,99.7g,7.3g,4.2g,https://www.hottomotto.com/menu_list/view/13/1134
牛焼肉＆から揚　おかずのみ,870,https://www.hottomotto.com/files/menu_img/sp_1047.jpg?id=5845,582kcal,30.7g,38.7g,29.6g,25.1g,4.5g,4.5g,https://www.hottomotto.com/menu_list/view/13/1047
夏のよくばり牛カレー,670,https://www.hottomotto.com/files/menu_img/sp_1238.jpg?id=5845,582kcal,13.0g,16.2g,98.8g,92.7g,6.1g,2.3g,https://www.hottomotto.com/menu_list/view/13/1238
W特製ナポリタン＆サラダ(麺2倍),650,https://www.hottomotto.com/files/menu_img/sp_1292.jpg?id=5845,770kcal,34.6g,29.1g,100.4g,88.7g,11.7g,5.5g,https://www.hottomotto.com/menu_list/view/13/1292
海鮮天ぷら弁当,740,https://www.hottomotto.com/files/menu_img/sp_1229.jpg?id=5845,782kcal,19.3g,22.6g,128.9g,120.4g,8.5g,3.4g,https://www.hottomotto.com/menu_list/view/13/1229
旨だれ焼鳥つくね重,660,https://www.hottomotto.com/files/menu_img/sp_1287.jpg?id=5845,628kcal,27.7g,18.0g,91.9g,85.1g,6.8g,3.2g,https://www.hottomotto.com/menu_list/view/13/1287
夏のよくばり牛カレー(ロースカツ),890,https://www.hottomotto.com/files/menu_img/sp_1240.jpg?id=5845,965kcal,31.7g,40.8g,121.1g,113.7g,7.4g,2.9g,https://www.hottomotto.com/menu_list/view/13/1240
旨さやみつきキムチ,130,https://www.hottomotto.com/files/menu_img/sp_183.jpg?id=5845,52kcal,2.4g,0.6g,9.4g,7.6g,1.8g,2.5g,https://www.hottomotto.com/menu_list/view/13/183
おにぎりセット,500,https://www.hottomotto.com/files/menu_img/sp_1175.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1175
6コ入り から揚弁当,720,https://www.hottomotto.com/files/menu_img/sp_1256.jpg?id=5845,850kcal,42.2g,28.3g,106.7g,99.7g,7.0g,3.9g,https://www.hottomotto.com/menu_list/view/13/1256
